@relation '2'

@attribute pred_Activity {lying,walking,sitting,standing,kneeling,allfours,transition,standing_leaning,cycling,running}
@attribute peakCount numeric
@attribute Z_breathRate numeric
@attribute Z_heartRate numeric
@attribute Z_skinTemp numeric
@attribute SW_GSR numeric
@attribute SW_NearBodyTemp numeric
@attribute SW_skinTemp numeric
@attribute cosmed numeric

@data
lying,92,16.490182,48.969195,10,10.09727,10.747776,11.063158,1.803177
lying,81,16.790604,52.888637,10,10.09727,10.747776,11.063158,2.121443
walking,97,16.733168,56.625628,10,10.09727,10.747776,11.063158,3.184779
walking,111,15.72814,54.393795,10,10.09727,10.747776,11.063158,2.32777
walking,100,12.135302,49.127372,10,10.09727,10.747776,11.063158,2.195212
walking,110,10.376513,39.382058,10,10.09727,10.747776,11.063158,1.687837
walking,102,10.41098,35.848388,10,10.09727,10.747776,11.063158,1.536098
walking,113,10.653309,36.206419,10,10.09727,10.747776,11.063158,1.488898
walking,103,9.014466,35.059128,10,10.09727,10.747776,11.063158,1.189766
walking,108,9.304252,31.108676,10,10.098736,10.684795,11.041344,0.946258
walking,108,9.304252,32.318035,10,10.098736,10.684795,11.041344,1.144884
walking,103,9.661899,34.490348,10,10.098736,10.684795,11.041344,1.182634
walking,115,9.615095,35.522013,10,10.098736,10.684795,11.041344,1.294052
walking,109,10.904725,36.765119,10,10.098736,10.684795,11.041344,1.499861
walking,108,10.304252,38.083207,10,10.098736,10.684795,11.041344,1.013866
walking,105,9.731139,37.050758,10,10.100202,10.705785,10.99773,1.161892
walking,105,10.153089,36.287858,10,10.100202,10.705785,10.99773,1.131271
walking,113,11.834768,39.256512,10,10.100202,10.705785,10.99773,1.153808
walking,107,10.304252,37.268249,10,10.100202,10.705785,10.99773,1.197595
walking,107,10.304252,33.950929,10,10.100202,10.705785,10.99773,1.156137
walking,104,10.020919,34.021468,10,10.100202,10.705785,10.99773,1.066661
walking,109,9.304252,34.279074,10,10.100935,10.726778,10.975933,1.090289
walking,112,9.717245,34.87159,10,10.100935,10.726778,10.975933,1.320697
walking,107,9.304252,35.489656,10,10.100935,10.726778,10.975933,1.009119
walking,111,9.409886,35.169657,10,10.100935,10.726778,10.975933,1.153601
walking,109,10.304252,34.841346,10,10.100935,10.726778,10.975933,1.266418
walking,111,10.587662,36.304802,10,10.100935,10.726778,10.975933,1.148213
walking,115,10.100123,36.607882,10,10.102401,10.642831,10.93236,1.173061
walking,111,9.825579,38.295661,10,10.102401,10.642831,10.93236,1.173898
walking,104,9.861709,40.489922,10,10.102401,10.642831,10.93236,1.276383
walking,106,8.943073,43.347975,10,10.102401,10.642831,10.93236,1.259086
walking,107,9.304252,40.240086,10,10.102401,10.642831,10.93236,1.404121
walking,102,9.304252,37.39228,10,10.102401,10.642831,10.93236,1.347106
walking,108,8.766355,35.074274,10,10.103134,10.684795,10.888811,1.166437
walking,104,8.304252,35.347659,10,10.103134,10.684795,10.888811,1.129903
walking,100,8.304252,33.330776,10,10.103134,10.684795,10.888811,0.96554
walking,108,8.759441,35.331419,10,10.103134,10.684795,10.888811,1.215652
walking,110,8.467846,37.353189,10,10.103134,10.684795,10.888811,1.356224
lying,93,9.341723,37.712296,10,10.103134,10.684795,10.888811,1.371422
sitting,87,11.547988,53.252084,10,10.103867,10.705785,10.867045,2.237495
sitting,117,12.89855,56.909125,10,10.103867,10.705785,10.867045,1.905127
walking,105,10.861629,49.850469,10,10.103867,10.705785,10.867045,1.902894
sitting,100,9.334626,45.609875,10,10.103867,10.705785,10.867045,1.902894
sitting,109,7.917084,51.38508,10,10.103867,10.705785,10.867045,2.377643
sitting,117,8.404923,48.578691,10.380313,10.103867,10.705785,10.867045,1.18042
sitting,115,8.304252,40.668266,11,10.105333,10.747776,10.845287,1.197268
sitting,108,8.304252,38.180481,11,10.105333,10.747776,10.845287,1.242636
sitting,115,8.109682,36.980303,11,10.105333,10.747776,10.845287,1.359707
sitting,108,7.999206,38.773019,11,10.105333,10.747776,10.845287,1.081724
sitting,114,8.304252,44.01587,11,10.105333,10.747776,10.845287,0.997227
sitting,107,9.110056,46.083819,10.600446,10.105333,10.747776,10.845287,1.208324
sitting,115,9.304252,46.979369,10,10.106066,10.768778,10.823534,1.279307
sitting,110,9.322311,47.259977,10,10.106066,10.768778,10.823534,1.215077
sitting,120,11.643578,45.249264,10,10.106066,10.768778,10.823534,1.385373
sitting,110,12.603572,46.635867,10,10.106066,10.768778,10.823534,1.13244
sitting,104,12.304252,48.088284,10,10.106066,10.768778,10.823534,1.106981
sitting,116,12.304252,51.847017,10.426966,10.106066,10.768778,10.823534,1.195341
